date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,net_pnl_25,net_pnl_50
2022-08-01,3387.2076744472015,-998.5714285714265,195239.16968535926,120.87486371678857,42,210,0.3681385714285715,0.12223860551471193,2.2737367544323206e-13,-171211.94858448312,740538.7509004681,1291.1673324388698,2096.040342008332,-45543.4596106094,-94353.25203194922
2022-08-02,4390.977221876778,10838.095238095248,215968.12915301294,100.39338478600878,42,206,0.36933571428571427,0.14709437110168094,0.0,-4831.697999392781,742563.4852134015,-5122.286684932742,9513.26390680952,-49701.44845116247,-103693.4807394157
2022-08-03,-3188.452906864526,2703.409090909089,235468.27856831427,130.89316132051235,88,433,0.35881250000000003,0.16925707033603107,-1.1368683772161603e-13,-41234.69504559268,726160.3092662885,-3730.8400568409425,542.3871499764172,-62186.41571026361,-121053.48535234216
2022-08-04,-1253.2785054142935,8429.069767441848,229874.7355447891,129.59068397191461,86,426,0.3564860465116279,0.154242660669224,-2.2737367544323206e-13,-134864.58149984022,721139.8108144471,-10981.103515040633,9727.82500962634,-58851.553075583484,-116320.23696178074
2022-08-05,-2238.9503110581154,-7945.238095238086,204804.56366900215,118.89336892330411,84,417,0.3539357142857143,0.16126473730033136,1.9895196601282805e-13,-46710.522575927804,713156.1262264369,-4476.89006251041,2237.939751452295,-53558.98459723195,-104760.1255144825
2022-08-08,5714.759252710197,3630.6818181818226,189044.79735495718,134.95085987179135,88,438,0.3472352272727273,0.13503670974393628,8.526512829121202e-14,-77763.9912415993,702796.8790357293,7347.383202127802,-1632.6239494176054,-41681.390945900894,-88942.59028464019
2022-08-09,-7311.230067055773,-6954.069767441863,206580.76737476973,138.5939913433581,86,430,0.3576709302325582,0.15504726030791596,-1.1368683772161603e-13,11724.609959618385,724129.6086430065,-7627.777906439256,316.54783938348345,-59095.01590209157,-110740.20774578399
2022-08-10,-1926.264883335695,2779.545454545448,180410.68490166694,137.1414717144247,88,437,0.3336784090909091,0.13050732224843734,-1.1368683772161603e-13,-48013.51143378539,675736.2899955933,3174.423162172102,-5100.688045507797,-47166.07758046685,-92268.74880588359
2022-08-11,759.3238898541708,1158.8888888888844,198662.52797117567,150.74079305486126,90,444,0.32502277777777777,0.1418633867109715,5.684341886080802e-14,-8193.519445377047,659476.804113759,-5009.185653602468,5768.509543456639,-49057.04889599461,-98722.68088878853
2022-08-12,-2231.3477746718004,-8905.952380952378,194740.30516923545,143.40032869564791,84,420,0.31322857142857147,0.1699025001492273,1.9895196601282805e-13,61022.13327349021,635696.1464228786,-765.5079250162211,-1465.8398496555792,-51059.82439567631,-99744.90068798517
2022-08-15,577.7732230505815,1277.9069767441788,153021.00852007378,194.34715211380797,86,428,0.320546511627907,0.13002728591522067,2.842170943040401e-14,-159115.01948347033,659486.3972276712,-1039.1652574493435,1616.9384804999256,-37871.82605908167,-76127.07818910012
2022-08-16,3715.9860633859394,3175.930232558135,162941.41807678106,187.70285055121016,86,430,0.31132343023255815,0.13028382151651896,2.842170943040401e-14,-147462.75309939688,638501.4297623278,4329.193806870353,-613.2077434844138,-37207.071306360536,-77942.42582555581
2022-08-17,1043.9751818882173,4122.727272727286,164546.9251983624,176.96476775211266,88,435,0.3138982954545455,0.1373058911028985,0.0,-8985.706695919764,641282.8549472427,-11026.33752480996,12070.312706698178,-40269.7208854545,-81406.4521850451
2022-08-18,5712.086226527681,2618.6046511627987,168195.46223957924,216.24279178840823,86,428,0.3073401162790698,0.12714288212520042,-5.684341886080802e-14,-84562.76989705686,633269.651512736,3458.126531841258,2253.9596946864226,-36553.022125155534,-78601.88768505034
2022-08-19,2537.0770745743484,-3699.659090909096,141748.44238321274,268.1361997347131,88,435,0.3007840909090909,0.12199594038914839,-1.1368683772161603e-13,-409781.8742664895,627386.3990288135,16070.671272828627,-13533.594198254279,-33168.169720963546,-68605.28031676673
2022-08-22,-6903.556395927266,-4177.613636363644,194908.20455960996,198.18401633001832,88,440,0.32064414772727273,0.13994998477595347,8.526512829121202e-14,-21753.125859600765,656482.0845037404,-7410.242278709912,506.6858827826461,-55828.79155215977,-104555.84269206227
2022-08-23,1377.7699537833696,4811.363636363637,176197.9041841704,216.64286966273684,88,433,0.3337005681818182,0.13054186110241559,-3.126388037344441e-13,-120242.85939313183,684275.8462635238,-5824.088241119929,7201.858194903299,-42888.34896192196,-86937.82500796457
2022-08-24,12843.766326551317,18218.488372093016,196815.04306856627,190.6619730314532,86,425,0.3229435465116279,0.14385415489004186,1.9895196601282805e-13,-39209.43103588541,659413.8247381327,2984.7998512133418,9858.966475337975,-36550.656413621706,-85754.41718076328
2022-08-25,-7496.7273224241435,1848.809523809529,232468.1021496749,196.28313982772443,84,419,0.30791011904761906,0.1739757121529786,-1.7053025658242404e-13,-80796.70141968224,630500.4606614956,36910.44103491746,-44407.1683573416,-65810.0359996706,-123927.06153708932
2022-08-26,-931.0694782485009,-2765.9090909090855,190131.043217268,122.12585272951932,44,216,0.37232613636363643,0.13477601537937223,1.1368683772161603e-13,-197309.506612593,750470.5246936658,-6193.665859177375,5262.596380928874,-48585.95613529502,-96118.71693961202
2022-08-29,4376.214064173643,3724.565217391317,203787.55834303112,115.68100504106616,46,221,0.3642283695652174,0.1324678390412187,-2.2737367544323206e-13,-19643.472487847466,733490.7472312306,-1643.349349350358,6019.563413524001,-46686.356526625204,-97633.24611238299
2022-08-30,-3371.8661332336605,2186.3636363636365,187268.13548705794,97.58279581697604,44,220,0.36742727272727277,0.1277306075890505,1.7053025658242404e-13,-87051.8781979472,739089.5302489364,-4890.133694624859,1518.2675613911993,-50286.48280081512,-97103.51667257962
2022-08-31,3890.0209303936736,8352.173913043473,205861.9809720337,138.10782019784756,46,221,0.37703913043478265,0.13554995572348946,2.2737367544323206e-13,19528.19254148799,759340.4338535153,2025.5067767324372,1864.5141536612368,-47713.5821328126,-99179.07737582103
2022-09-01,-2007.4102596670182,295.22727272726576,206949.11840473552,104.33070874383012,44,218,0.3665443181818182,0.13275089591435882,0.0,-88874.49154030018,736427.5790163199,-4420.206646198859,2412.7963865318407,-53849.02056959473,-105586.3001707786
2022-09-02,4325.500212997679,756.8181818181758,161645.77895977435,125.93260446841751,44,213,0.3883761363636364,0.11389656640337988,0.0,39567.379803534786,781619.8726351727,-11436.054093745843,15761.554306743523,-36211.87713141433,-76623.32187135791
2022-09-06,13743.630496693837,6032.500000000002,187581.3053235565,103.53293560949577,44,219,0.39028670454545455,0.10335828166524763,5.684341886080802e-14,21130.057367003115,784884.4866248895,8988.322068375599,4755.308428318239,-33255.22876980478,-80150.55510069392
2022-09-07,-9614.880332594756,-1602.222222222223,163835.16203492926,130.9726501960051,90,447,0.3604861111111111,0.11599524520235005,-1.1368683772161603e-13,291.57437303062306,728768.383783558,-8069.915801966065,-1544.9645306286898,-50704.64349152307,-91663.4340002554
2022-09-08,7115.9748020675715,11288.000000000002,219586.35268414917,140.36268341338948,90,447,0.3481815555555556,0.13129484376236222,-5.684341886080802e-14,31403.598043883125,704977.2416612782,-2279.40544803661,9395.380250104183,-47920.976052383114,-102817.5642234204
2022-09-09,-10478.93320555053,-7826.136363636363,186864.75436948758,160.1425894825813,88,437,0.34640170454545455,0.13115116637005006,-1.1368683772161603e-13,-89663.36660081489,704559.699044663,-7704.808828945184,-2774.1243766053453,-57355.264387405005,-104071.4529797769
2022-09-12,8630.138173401165,3712.2222222222304,191646.39997783332,132.85225482871834,90,448,0.34572166666666665,0.1259293309412267,2.5579538487363607e-13,12213.874847850824,699165.11494732,42417.86708375486,-33787.7289103537,-39414.314075885886,-87325.91407034421
2022-09-13,2750.8495540841573,3055.5555555555543,230132.14748987477,130.94620982002078,90,444,0.36119500000000004,0.14274751510927358,-5.684341886080802e-14,43059.69457401883,730571.2319653952,-1255.3492738974044,4006.198827981561,-54913.13352820456,-112446.17040067325
2022-09-14,-13356.347696778621,-6552.272727272723,190341.77844337147,153.26297479373844,88,439,0.36276193181818184,0.12628435961839543,0.0,-62103.776466133124,736113.9230612658,-3246.694123037801,-10109.65357374082,-61095.055282415226,-108680.4998932581
2022-09-15,-5377.475525997588,6700.978260869581,212039.80251540113,142.08585658045007,92,451,0.3788239130434783,0.12006326973705309,3.410605131648481e-13,108068.86677602238,766601.8781115045,7262.369945722062,-12639.845471719651,-58529.51201142832,-111539.46264027861
2022-09-16,5515.850903917585,6975.113636363639,176866.46911761604,150.2414059955704,88,440,0.38621875000000006,0.13571673768165995,5.684341886080802e-14,-4035.3157093917034,782319.2362120317,-15060.58047406307,20576.431377980654,-38851.007781481996,-83067.62506088601
2022-09-19,-5929.38962118267,-4941.3043478261125,146760.62334230662,132.7891468419363,92,451,0.3656722826086957,0.09437818507724755,0.0,-70087.65601017787,740809.1328418503,7599.3897890646895,-13528.77941024736,-42752.33460360126,-79442.49043917791
2022-09-20,-4365.693256171031,-6198.888888888898,143787.49237918458,124.41110768196334,90,448,0.3837561111111111,0.08402607231794552,-1.1368683772161603e-13,-90497.3839634266,774773.3885064839,-4177.571316381121,-188.12193978991058,-40436.97745864913,-76383.85055344529
