date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2021-02-25,30889.26991256105,28152.619047619046,409941.33513065445,149.3327709390824,84,420,0.39150535714285717,0.24135919203189285,8.526512829121202e-14,-253671.17098737962,792891.8608415527,1695.8863073051762,29193.383605255873,0.0,0.011904761904761904,-71745.39664104165,-174230.73042370524
2021-02-26,32240.288284125327,34336.78571428571,354217.65080136363,186.69533892500897,84,413,0.3815279761904762,0.24688626563097293,-5.684341886080802e-14,-300403.35843569227,778312.3384370991,-11657.347986766366,43897.63627089169,0.0,0.0,-56500.81975514059,-145055.23245548148
2021-03-01,4091.307464926983,9259.523809523827,333406.0898473791,79.35442137791951,42,209,0.3685285714285714,0.21191752387845067,5.684341886080801e-13,-100995.03372119371,739412.4557739587,-746.7655116467402,4838.072976573723,0.0,0.0,-79339.56941829571,-162691.09188014048
2021-03-02,25016.666713377133,23001.097560975606,309304.9889941274,112.79857764523972,82,404,0.36893841463414634,0.22457122734305482,-1.4210854715202004e-13,-43848.504635498,745221.5371317852,22892.490747641245,2124.175965735889,0.0,0.0,-52422.37911279995,-129748.62636133179
2021-03-03,6634.49681235158,7355.666666666661,451207.16295649635,106.35426654872447,90,444,0.3695089444444445,0.1941509801159886,2.842170943040401e-14,48793.54607605028,744544.4573211158,12441.064711860463,-5806.567899508883,0.0,0.011111111111111112,-106273.64819332122,-219075.43893244534
2021-03-04,24317.875120041528,26617.18750000001,389544.21465310064,127.78565356167884,64,318,0.382325,0.2963759188723464,0.0,-105371.1636347451,775636.888134166,18293.91929186899,6023.955828172538,0.0,0.0,-73195.9641967953,-170582.01786007048
2021-03-05,24355.411633163356,26443.023255813954,339261.35433656303,110.85479905035669,86,424,0.3692767441860465,0.22461413949993084,-1.7053025658242404e-13,-187623.75617225442,745057.5459411738,20217.370351003457,4138.041282159898,0.0,0.0,-60570.78175002776,-145386.12033416852
2021-03-08,3412.192444411161,13826.744186046513,306455.9465727281,108.10914947780957,86,428,0.3679075581395349,0.22774320566613,-5.684341886080802e-14,-181842.63029618745,742295.4872984762,-579.0931671032768,3991.2856115144377,0.0,0.0,-73309.90334824867,-149923.8899914307
2021-03-09,13416.153480026955,13097.727272727272,294862.3822743173,115.47947032011173,88,440,0.3537528409090909,0.20456079884630818,0.0,-108320.93559708982,716302.2988780241,1688.8999816756132,11727.253498351341,0.0,0.0,-60414.921558872484,-134130.5171274518
2021-03-10,4081.9170425461257,9735.555555555547,274419.77037102904,123.86905168427063,90,448,0.34925333333333336,0.19321951307869817,0.0,-181955.52652820604,708292.6420443398,-2497.376963716077,6579.294006262203,0.0,0.0,-64646.8946018954,-133251.83719465267
2021-03-11,6954.9554844099985,7147.777777777783,254593.49348513328,106.33279871576136,90,443,0.3522633333333334,0.18310079669595017,2.842170943040401e-14,-42644.873724831945,710669.2192098064,1646.472945147407,5308.482539262592,0.0,0.0,-56799.75068558908,-120448.12405687242
2021-03-12,7833.927134305092,9470.45454545455,243579.35204165056,151.69231280942316,88,431,0.3467789772727273,0.1706388043203061,1.1368683772161603e-13,-219313.63742180486,709577.1554032528,2874.42021576225,4959.506918542842,0.0,0.011363636363636364,-53212.60318891697,-114107.44119932961
