date,option_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2025-10-08,-6599.5920086515835,2592.8227862906633,0.0,-4006.7692223609197,-4006.7692223609197,-2538.7852561325085,-1467.9839662284112,204343.0068703877,776
2025-10-09,382.35410238961924,2418.6561619831155,0.0,2801.0102643727346,2801.0102643727346,-156.79862648016618,2957.8088908529007,211184.43281264039,787
2025-10-10,-10128.622788281606,7813.240613316909,0.0,-2315.382174964697,-2315.382174964697,23425.459016116823,-25740.841191081516,209236.77034065468,759
2025-10-13,-1035.3506413688006,3838.5777544415446,0.0,2803.2271130727445,2803.2271130727445,-14242.337776921464,17045.564889994206,202300.935144853,714
2025-10-14,10096.68760599772,-5050.459003835489,0.0,5046.228602162231,5046.228602162231,5031.0958259782365,15.13277618399497,192120.1355644274,688
2025-10-15,-10486.14929408949,262.20976657304954,0.0,-10223.93952751644,-10223.93952751644,-6537.314829141577,-3686.6246983748624,172991.34815764666,613
2025-10-16,-7406.625431362682,8907.499757127878,0.0,1500.8743257651963,1500.8743257651963,12503.441634361126,-11002.567308595932,179989.44195216254,574
2025-10-17,5934.0552290911255,-3117.7107648329575,0.0,2816.344464258167,2816.344464258167,-17703.1357675389,20519.480231797068,184265.2197115195,538
2025-10-20,222.50428923107702,7027.148921025606,0.0,7249.653210256683,7249.653210256683,-7713.131644595019,14962.784854851703,178995.94485989175,346
2025-10-21,13934.18545289977,-5941.199807113985,0.0,7992.985645785785,7992.985645785785,3885.541844757803,4107.443801027981,191201.23769433884,391
2025-10-22,5021.21430543236,-3658.1434529992034,0.0,1363.070852433156,1363.070852433156,-198.03273087186562,1561.1035833050214,199394.9057647464,423
2025-10-23,462.10444471983004,-7211.065541648341,0.0,-6748.961096928511,-6748.961096928511,-5942.108926198833,-806.8521707296791,200997.43838718682,459
2025-10-24,-4024.530374679536,4476.88329449448,0.0,452.35291981494225,452.35291981494225,-7168.324189096341,7620.677108911284,209624.13091882857,494
2025-10-27,-6622.661721502332,6924.8258076170205,0.0,302.1640861146882,302.1640861146882,-1503.0085252825506,1805.1726113972393,197500.00268861666,521
2025-10-28,13951.753463563504,-1440.7441292625663,0.0,12511.009334300936,12511.009334300936,5832.570323609995,6678.43901069094,202460.41872801728,564
2025-10-29,-12435.885189053382,18277.337712058485,0.0,5841.452523005099,5841.452523005099,21504.03206266201,-15662.57953965691,197714.7466011028,592
2025-10-30,-6744.380122415455,-13262.64155328037,0.0,-20007.021675695825,-20007.021675695825,-1110.7388671814088,-18896.282808514417,195589.35022891662,618
2025-10-31,-4582.118505805613,6632.335421570008,0.0,2050.2169157643957,2050.2169157643957,-7565.502483016097,9615.719398780493,199557.75394889075,616
2025-11-03,4584.952105669586,-3218.396501752403,0.0,1366.555603917183,1366.555603917183,-2713.1771612372595,4079.7327651544424,188027.82218215865,597
2025-11-04,26939.90303150571,-17562.153812285072,0.0,9377.749219220637,9377.749219220637,5909.9150652288,3467.834153991836,174395.75114250602,597
2025-11-05,-8451.588344516736,9729.283027850532,0.0,1277.6946833337954,1277.6946833337954,-6107.322114573863,7385.016797907659,164865.92806440627,597
2025-11-06,10646.996896794315,-4133.7616045607465,0.0,6513.235292233568,6513.235292233568,9792.854259266853,-3279.618967033285,166520.63349517822,597
2025-11-07,4604.5324030587135,-124.58392969817947,0.0,4479.948473360534,4479.948473360534,-5083.796492676225,9563.74496603676,158563.36633887477,586
