date,iv_30,iv_30_dte,iv_90,iv_90_dte,slope,spx_close,VIX,VIX3M,slope_z,iv_30_mean_1y
2017-11-07,0.0748,31,0.09260000000000002,85,0.01780000000000001,,,,-0.2213591913633727,0.0853739534883721
2017-11-08,0.0716,30,0.09315000000000001,84,0.021550000000000014,,,,0.1870141978917718,0.08531018518518518
2017-11-09,0.0794,29,0.09405,83,0.014649999999999996,,,,-0.5651884808723667,0.08528294930875575
2017-11-10,0.08165,28,0.10725000000000001,98,0.02560000000000001,,,,0.6311154314028943,0.08526628440366973
2017-11-13,0.08875000000000001,32,0.10745,95,0.018699999999999994,,,,-0.1247577836963837,0.08528219178082191
2017-11-14,0.0868,31,0.1074,94,0.020599999999999993,,,,0.08374107617108517,0.08528909090909091
2017-11-15,0.10160000000000001,30,0.11475,93,0.013149999999999995,,,,-0.7338417761747417,0.08536289592760182
2017-11-16,0.08175000000000002,29,0.1047,92,0.022949999999999984,,,,0.3452690311966928,0.08534662162162163
2017-11-17,0.07875,28,0.10400000000000001,91,0.02525000000000001,,,,0.5974185889144144,0.08531704035874439
2017-11-20,0.07915,32,0.10225000000000001,88,0.02310000000000001,,,,0.3587619142714508,0.08528950892857144
2017-11-21,0.07005,31,0.09425,87,0.0242,,,,0.4793294339230455,0.08522177777777779
2017-11-22,0.0698,30,0.09290000000000001,86,0.02310000000000001,,,,0.35635151612607274,0.08515353982300886
2017-11-24,0.07050000000000001,28,0.0918,84,0.0213,,,,0.1558292997945875,0.08508898678414097
2017-11-27,0.07565,32,0.09555,93,0.0199,,,,-0.00019595299570086567,0.08504758771929825
2017-11-28,0.07640000000000001,31,0.08805,92,0.011649999999999994,,,,-0.9179507295263142,0.08500982532751092
2017-11-29,0.08185,30,0.09095,91,0.009099999999999997,,,,-1.196484494148301,0.08499608695652174
2017-11-30,0.08945,29,0.0971,90,0.007650000000000004,,,,-1.3500040981783576,0.08501536796536797
2017-12-01,0.09105,28,0.0973,89,0.006249999999999992,,,,-1.495435052456009,0.08504137931034483
2017-12-04,0.08810000000000001,32,0.09670000000000001,86,0.008599999999999997,,,,-1.2276411965458103,0.08505450643776825
2017-12-05,0.08610000000000001,31,0.0948,85,0.008699999999999986,,,,-1.2101134201863402,0.08505897435897436
2017-12-06,0.08375,30,0.09385,84,0.010099999999999998,,,,-1.0501464987032216,0.08505340425531915
2017-12-07,0.07955000000000001,29,0.09260000000000002,83,0.013050000000000006,,,,-0.7207895853702571,0.08503008474576271
2017-12-08,0.07339999999999999,28,0.0965,98,0.02310000000000001,,,,0.3935024811096609,0.08498101265822784
2017-12-11,0.07175000000000001,32,0.09275,95,0.02099999999999999,,,,0.15970275025354636,0.08492542016806723
2017-12-12,0.07650000000000001,31,0.09440000000000001,94,0.0179,,,,-0.1852328485465882,0.08489016736401674
2017-12-13,0.078,30,0.09555,93,0.017549999999999996,,,,-0.22381237365514325,0.08486145833333333
2017-12-14,0.07730000000000001,29,0.0968,92,0.01949999999999999,,,,-0.005697097452272529,0.08483008298755187
2017-12-15,0.06810000000000001,28,0.08985000000000001,91,0.021750000000000005,,,,0.2459479855701336,0.08476095041322315
2017-12-18,0.07285,32,0.09005,88,0.017200000000000007,,,,-0.2644385698340545,0.08471193415637861
2017-12-19,0.07955000000000001,31,0.09275,87,0.01319999999999999,,,,-0.7122998882511418,0.08469077868852459
2017-12-20,0.07445,30,0.091,86,0.016549999999999995,,,,-0.33422705478576015,0.08464897959183673
2017-12-21,0.0736,29,0.09255,85,0.018949999999999995,,,,-0.06328983459366914,0.0846040650406504
2017-12-22,0.0734,28,0.09375,84,0.020349999999999993,,,,0.09481022891415106,0.08455870445344131
2017-12-26,0.07925,31,0.09440000000000001,93,0.01515000000000001,,,,-0.4930875937690123,0.08453729838709678
2017-12-27,0.07745,30,0.09460000000000002,92,0.017150000000000012,,,,-0.26557851545954025,0.08450883534136547
2017-12-28,0.0706,29,0.09245,91,0.02185000000000001,,,,0.2681540344299888,0.0844532
2017-12-29,0.07390000000000001,28,0.1042,90,0.030299999999999994,,,,1.224418853493159,0.08441115537848606
2018-01-02,0.06855,31,0.09125,86,0.022699999999999998,,,,0.35889252159241014,0.08434821428571429
2018-01-03,0.06905,30,0.0941,85,0.025050000000000003,,,,0.6238106937245798,0.0841922619047619
2018-01-04,0.0694,29,0.09655,84,0.027149999999999994,,,,0.8849393506983491,0.08382698412698414
2018-01-05,0.06835,28,0.08975,83,0.021400000000000002,,,,0.19620048286783515,0.08371111111111113
2018-01-08,0.07295000000000001,32,0.09065000000000001,80,0.017699999999999994,,,,-0.24773502281088883,0.08362400793650794
2018-01-09,0.07725,31,0.09490000000000001,79,0.017650000000000013,,,,-0.2505053017325701,0.08354424603174604
2018-01-10,0.07645,30,0.09565000000000001,100,0.01920000000000001,,,,-0.06116249138915523,0.08346488095238094
2018-01-11,0.07625000000000001,29,0.0902,99,0.01394999999999999,,,,-0.6871388093873921,0.08339285714285714
2018-01-12,0.0792,28,0.095,98,0.015799999999999995,,,,-0.461384320775629,0.08332698412698412
2018-01-16,0.09635,31,0.10365,94,0.007300000000000001,,,,-1.4715006818885572,0.08335138888888889
2018-01-17,0.09185,30,0.10325000000000001,93,0.011400000000000007,,,,-0.9720893558456182,0.08333214285714285
2018-01-18,0.09455000000000001,29,0.10555,92,0.010999999999999996,,,,-1.0131259119014342,0.08332817460317461
2018-01-19,0.08515,28,0.1003,91,0.015149999999999997,,,,-0.5139409407481417,0.08326507936507938
2018-01-22,0.08765,32,0.10170000000000001,88,0.014050000000000007,,,,-0.6403922454482706,0.08326130952380953
2018-01-23,0.0882,31,0.1014,87,0.013200000000000003,,,,-0.7376068587754869,0.08324325396825397
2018-01-24,0.09455,30,0.10555,86,0.01100000000000001,,,,-0.9938749171636185,0.08327103174603175
2018-01-25,0.09465000000000001,29,0.10705,85,0.012399999999999994,,,,-0.8208020607713711,0.08331031746031746
2018-01-26,0.0921,28,0.10915,94,0.017049999999999996,,,,-0.2633536483722759,0.0833388888888889
2018-01-29,0.11295000000000001,30,0.1177,91,0.00474999999999999,,,,-1.712634007613275,0.08346289682539683
2018-01-30,0.1228,31,0.12935000000000002,90,0.006550000000000014,,,,-1.4851256203024112,0.08360277777777779
2018-01-31,0.11420000000000001,30,0.12555,89,0.011349999999999985,,,,-0.9133398307661501,0.083684126984127
2018-02-01,0.11280000000000001,29,0.12229999999999999,88,0.00949999999999998,,,,-1.123984531591177,0.08377678571428572
2018-02-02,0.1375,28,0.1348,87,-0.002700000000000008,,,,-2.518498647172491,0.08395813492063492
2018-02-05,0.30065,32,0.23455,84,-0.06609999999999996,,,,-8.368863229260148,0.08482698412698414
2018-02-06,0.2087,31,0.16985,83,-0.038849999999999996,,,,-5.3232296769895395,0.0853029761904762
2018-02-07,0.17885,30,0.16125,82,-0.017600000000000005,,,,-3.260410200276465,0.08566448412698413
2018-02-08,0.2555,29,0.22,81,-0.035500000000000004,,,,-4.663762113935278,0.08632797619047619
2018-02-09,0.22375,28,0.1992,98,-0.024550000000000016,,,,-3.600915249215187,0.08687420634920634
2018-02-12,0.17805,32,0.17275000000000001,95,-0.005299999999999999,,,,-1.9390181665999306,0.08725079365079366
2018-02-13,0.1769,31,0.17020000000000002,94,-0.006699999999999984,,,,-2.032313058749303,0.08758511904761905
2018-02-14,0.15075,30,0.15115,93,0.00040000000000001146,,,,-1.4232879190128052,0.08783928571428572
2018-02-15,0.1489,29,0.1482,92,-0.0007000000000000062,,,,-1.5046991545935504,0.08804960317460318
2018-02-16,0.14479999999999998,28,0.14675,91,0.0019500000000000073,,,,-1.2752468892582534,0.08825178571428573
2018-02-20,0.15300000000000002,31,0.1519,87,-0.0011000000000000176,,,,-1.515259022479684,0.08849960317460318
2018-02-21,0.15585,30,0.153,86,-0.0028499999999999914,,,,-1.6442911042843669,0.08875138888888891
2018-02-22,0.1491,29,0.14885,85,-0.0002500000000000002,,,,-1.4178111455929296,0.08897123015873017
2018-02-23,0.12260000000000001,28,0.13125,84,0.008649999999999991,,,,-0.6823145166792288,0.08908869047619047
2018-02-26,0.12335000000000002,31,0.12965,94,0.006299999999999972,,,,-0.8680751726681818,0.08922361111111111
