11:48:08 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
11:48:51 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:52 voltium.providers.straddle_returns reference paths: 100/533 symbols
11:48:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CINF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CLX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMCSA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:54 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CME.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:54 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CNC.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:56 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CNP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
