19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
21:05:08 voltium.backtester 2024-06-04  positions=41  day pnl=4299  cum pnl=-5907545
21:05:59 voltium.backtester 2024-06-18  positions=47  day pnl=-2927  cum pnl=-5916207
21:06:49 voltium.backtester 2024-07-03  positions=50  day pnl=-7174  cum pnl=-5955430
21:07:40 voltium.backtester 2024-07-18  positions=56  day pnl=-7402  cum pnl=-5979392
21:08:31 voltium.backtester 2024-08-01  positions=46  day pnl=5089  cum pnl=-6122536
21:09:23 voltium.backtester 2024-08-15  positions=45  day pnl=2082  cum pnl=-6151954
21:10:15 voltium.backtester 2024-08-29  positions=49  day pnl=3793  cum pnl=-6163040
21:11:16 voltium.backtester 2024-09-13  positions=50  day pnl=11245  cum pnl=-6233808
21:12:15 voltium.backtester 2024-09-27  positions=54  day pnl=-2745  cum pnl=-6250696
21:13:10 voltium.backtester 2024-10-11  positions=56  day pnl=11245  cum pnl=-6252480
21:14:02 voltium.backtester 2024-10-25  positions=59  day pnl=3451  cum pnl=-6272410
21:14:54 voltium.backtester 2024-11-08  positions=58  day pnl=-1924  cum pnl=-6254871
21:15:48 voltium.backtester 2024-11-22  positions=53  day pnl=-16605  cum pnl=-6312705
21:16:41 voltium.backtester 2024-12-09  positions=46  day pnl=7702  cum pnl=-6355407
21:17:33 voltium.backtester 2024-12-23  positions=42  day pnl=-6745  cum pnl=-6368155
21:18:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
21:18:31 voltium.backtester 2025-01-08  positions=43  day pnl=-8531  cum pnl=-6392573
21:19:31 voltium.backtester 2025-01-24  positions=43  day pnl=1225  cum pnl=-6412190
21:20:31 voltium.backtester 2025-02-07  positions=48  day pnl=-4575  cum pnl=-6449427
21:21:30 voltium.backtester 2025-02-24  positions=57  day pnl=-15084  cum pnl=-6498818
21:22:25 voltium.backtester 2025-03-10  positions=57  day pnl=-2299  cum pnl=-6538561
21:23:21 voltium.backtester 2025-03-24  positions=59  day pnl=-3257  cum pnl=-6533355
21:24:18 voltium.backtester 2025-04-07  positions=52  day pnl=-16910  cum pnl=-6632317
21:25:16 voltium.backtester 2025-04-22  positions=57  day pnl=4658  cum pnl=-6630851
21:26:15 voltium.backtester 2025-05-06  positions=65  day pnl=193  cum pnl=-6663285
21:27:12 voltium.backtester 2025-05-20  positions=72  day pnl=-4341  cum pnl=-6653264
21:28:08 voltium.backtester 2025-06-04  positions=69  day pnl=-1809  cum pnl=-6670098
21:29:05 voltium.backtester 2025-06-18  positions=71  day pnl=2074  cum pnl=-6706074
21:29:46 voltium.backtester 2025-06-30  positions=69  day pnl=-31830  cum pnl=-6744211
21:29:46 level_book backtest done (7444s)

=== summary ===
                            sessions: 1758
                      mean_positions: 58.0546
                     mean_gross_vega: 12,287.4243
                       mean_net_vega: -116.2492
                     total_gross_pnl: -112,122.7156
                          total_cost: 6,632,087.8895
                       total_net_pnl: -6,744,210.6051
                              sharpe: -4.0697
       annual_net_pnl_per_gross_vega: -78.6778
                        max_drawdown: -6,745,276.8007
     annual_turnover_over_gross_vega: 24.6346
                           cost_drag: 59.1503

=== factor regression (net P&L per $ gross vega on the risk factors) ===
shape: (14, 5)
┌────────────────────────┬─────────────┬──────────┬───────────┬──────────────┐
│ regressor              ┆ coefficient ┆ t_stat   ┆ r_squared ┆ observations │
│ ---                    ┆ ---         ┆ ---      ┆ ---       ┆ ---          │
│ str                    ┆ f64         ┆ f64      ┆ f64       ┆ i64          │
╞════════════════════════╪═════════════╪══════════╪═══════════╪══════════════╡
│ const                  ┆ -0.3046     ┆ -10.8439 ┆ 0.1598    ┆ 1758         │
│ Communication Services ┆ -0.2579     ┆ -10.6215 ┆ 0.1598    ┆ 1758         │
│ Consumer Discretionary ┆ 0.0227      ┆ 0.7243   ┆ 0.1598    ┆ 1758         │
│ Consumer Staples       ┆ 0.2165      ┆ 3.3166   ┆ 0.1598    ┆ 1758         │
│ Energy                 ┆ 0.0053      ┆ 0.2012   ┆ 0.1598    ┆ 1758         │
│ Financials             ┆ -0.2985     ┆ -4.3293  ┆ 0.1598    ┆ 1758         │
