16:00:36 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
16:00:36 level_book reference paths: 250402 rows (0s)
16:00:41 voltium.providers.base materialize: 100/533 symbols
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CINF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CLX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMCSA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CME.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CMS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CNC.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CNP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks/COIN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/COST.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/CPAY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPRT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CPT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CRL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/CRM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:42 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/CRWD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
