15:42:36 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
15:42:37 level_book reference paths: 1067053 rows (1s)
15:43:15 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2021/CDAY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:15 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CDNS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:15 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/CDW.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/CE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2022/CEG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CELG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CERN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:17 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:17 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CFG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:17 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CHD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:18 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CHK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:18 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CHRW.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:18 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CHTR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:19 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:19 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/CINF.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
