horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,TYL,99,2.2625090271054615,0.17473389297959666,0.5578711245478635,0.13602481579874762,0.5498823426241359,0.1361631076850383,0.47036663771432385,0.12905582846635058,0.7677625240866885,0.13596231462297445,-2.1535543453073505,4.76779377725426,1.199368026912162,28.682329378064836,IV,IV
5,target_rv,UAL,125,1.6831363077793176,0.28290375060155903,0.5840908251215328,0.26344974102573576,0.6632434233121581,0.31252150422992564,0.41184154866778216,0.20066248946516177,0.7841045783275588,0.22191180082424433,-1.7779996906789064,8.971384354705085,1.2294779145623298,48.06614592169812,IV,IV
5,target_rv,UBER,125,0.8003433513630863,0.17492330768569353,0.3955241897646857,0.1527344544790944,0.4046607694439296,0.1554416761003049,0.40892791274445617,0.15996844161849305,0.37094217655025086,0.12735892850889,-2.080859611018809,9.087490097272745,1.3160608599382961,37.839832601962755,MEAN,MEAN
5,target_rv,UHS,99,1.067756474676558,0.13882251774947013,0.45668828926826205,0.143512397133822,0.4073495186257451,0.13271599383186483,0.33383182891593294,0.11077135317284387,0.46817249929940313,0.11755384728896348,-2.437149960428036,6.981168207161676,1.2767173469569113,32.20968490094428,IV,IV
5,target_rv,ULTA,125,1.4239053556935126,0.2518834911016236,0.8480871416369765,0.26188686185926124,0.8643795764690594,0.26803762231353145,0.41967121174864735,0.16442427371035082,1.050381504981856,0.18243699056449753,-1.777045011448243,5.692214311479067,1.2151256096016516,32.15217099455062,IV,IV
5,target_rv,UNH,125,1.053851080938423,0.2507937760772187,0.7517994823342861,0.28409136388283784,0.8370772028150043,0.3299976813927374,0.5766885646355916,0.20025381484881832,0.6176374500747662,0.20263480687720695,-1.9511646387493071,5.711187803871724,1.1754522573453594,38.26242362313988,IV,IV
5,target_rv,UNP,125,0.841040193736955,0.09709628633705843,0.46514940386339826,0.11078159764013903,0.4381448857598692,0.09769031635288777,0.3841986781848964,0.08819766896107697,0.43281304078997657,0.07553847092998767,-2.8210602512226646,5.624472504296632,1.342788194589745,22.03248361164559,IV,MEAN
5,target_rv,UPS,125,1.6489001512563568,0.23077238002287093,0.7588724786301662,0.212849401286023,0.8926932322593174,0.2527786847024071,0.5354983026821896,0.16726431202057918,1.0204747013794697,0.18006995795587058,-1.947512032651296,6.719072194374289,1.2741788920786161,31.225233640411897,IV,IV
5,target_rv,URI,125,1.3351427395140554,0.1990806328107886,0.5390908749028834,0.17695256540488874,0.5677341991796865,0.17360501811010037,0.40688477954004965,0.13770712106665153,0.5827786911874477,0.1470014130264019,-3.277378765917495,5.220815173828364,1.1923869820573556,32.357865290202135,IV,IV
5,target_rv,USB,125,1.2944972249779871,0.12111568700530284,0.5203749292111227,0.11806390099344888,0.5781064288261669,0.13162289030371413,0.43144196904901927,0.09896945891660296,0.4385513843465561,0.08673688602567782,-2.7932842617172966,5.892144745611679,1.3159038864772463,24.543845461664954,IV,MEAN
